seed	team	name	kind	position	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses	r2Id	r2Id2
12	USC  	Dostanic/Frye                       	D	 2	  	  	13	1 	  	 	  	 	  	  	  	  	13	 1	13	 1	510835	486015
12	USC  	Holt/Sands                          	D	 3	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	563764	486016
12	USC  	Jackson/Weststrate                  	D	 4	  	  	  	  	1 	3	  	 	  	  	  	  	 1	 3	 1	 4	510836	563765
13	SCAR 	Daniel Rodrigues                    	S	 1	16	 4	  	  	  	 	  	 	  	  	  	  	16	 4	24	 6	485261	      
13	SCAR 	Connor Thomson                      	S	 2	  	  	6 	5 	5 	3	  	 	  	  	  	  	11	 8	18	12	511597	      
13	SCAR 	Toby Samuel                         	S	 3	  	  	  	  	4 	2	12	2	  	  	  	  	16	 4	24	 7	528050	      
13	SCAR 	Raphael Lambling                    	S	 4	 1	 0	2 	7 	3 	3	0 	2	  	  	  	  	 6	12	11	18	485260	      
13	SCAR 	Jake Beasley                        	S	 5	  	  	  	  	  	 	  	 	7 	7 	5 	1 	12	 8	18	10	485248	      
13	SCAR 	Thomas Brown                        	S	 6	  	  	1 	0 	  	 	  	 	  	  	2 	2 	 3	 2	11	 6	393233	      
13	SCAR 	Phillip Jordan                      	S	 7	  	  	  	  	0 	2	2 	0	3 	3 	1 	4 	 6	 9	11	16	511593	      
13	SCAR 	Bruno Oliveira                      	S	 8	  	  	  	  	  	 	0 	1	  	  	0 	1 	 0	 2	 0	 2	528049	      
13	SCAR 	Beau Pelletier                      	S	 9	  	  	  	  	  	 	  	 	  	  	2 	1 	 2	 1	 7	 6	485952	      
13	SCAR 	Carter Morgan                       	S	10	  	  	  	  	  	 	  	 	0 	1 	  	  	 0	 1	 2	 7	528048	      
13	SCAR 	Rodrigues/Thomson                   	D	 1	13	 7	  	  	  	 	  	 	  	  	  	  	13	 7	20	11	485261	511597
13	SCAR 	Beasley/Samuel                      	D	 2	  	  	9 	3 	6 	4	  	 	  	  	  	  	15	 7	23	11	485248	528050
13	SCAR 	Lambling/Jordan                     	D	 3	  	  	2 	4 	4 	3	  	 	  	  	  	  	 6	 7	14	10	485260	511593
13	SCAR 	Oliveira/Brown                      	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	528049	393233
14	UK   	Liam Draxl                          	S	 1	19	 2	  	  	  	 	  	 	  	  	  	  	19	 2	19	 2	511968	      
14	UK   	Gabriel Diallo                      	S	 2	  	  	12	5 	1 	1	1 	0	  	  	  	  	14	 6	19	 7	511971	      
14	UK   	Millen Hurrion                      	S	 3	  	  	4 	1 	10	3	  	 	  	  	  	  	14	 4	17	 7	511970	      
14	UK   	Cesar Bourgois                      	S	 4	  	  	1 	0 	1 	0	9 	6	3 	0 	  	  	14	 6	14	 6	391889	      
14	UK   	Joshua Lapadat                      	S	 5	  	  	  	  	2 	2	0 	4	3 	3 	1 	0 	 6	 9	11	10	561767	      
14	UK   	Alexandre LeBlanc                   	S	 6	  	  	  	  	  	 	1 	0	1 	0 	2 	4 	 4	 4	 5	 9	511973	      
14	UK   	Yasha Zemel                         	S	 7	  	  	  	  	  	 	2 	0	4 	4 	1 	2 	 7	 6	 7	 6	564877	      
14	UK   	Mathis Moysan                       	S	 8	  	  	  	  	1 	0	  	 	1 	0 	2 	3 	 4	 3	 4	 3	564879	      
14	UK   	Jonathan Sorbo                      	S	 9	  	  	  	  	  	 	  	 	1 	0 	2 	0 	 3	 0	 4	 4	497643	      
14	UK   	Ying-Ze Chen                        	S	10	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 1	 5	490928	      
14	UK   	Tate Sandman                        	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 1	 4	561768	      
14	UK   	Heman Nama                          	S	12	  	  	  	  	  	 	  	 	  	  	1 	0 	 1	 0	 2	 4	520896	      
14	UK   	Diallo/Bourgois                     	D	 1	14	 7	  	  	  	 	  	 	  	  	  	  	14	 7	14	 7	511971	391889
14	UK   	Draxl/Hurrion                       	D	 2	  	  	6 	2 	  	 	  	 	  	  	  	  	 6	 2	 6	 2	511968	511970
14	UK   	Lapadat/LeBlanc                     	D	 3	  	  	  	  	4 	2	  	 	  	  	  	  	 4	 2	 4	 4	561767	511973
14	UK   	Zemel/Chen                          	D	 4	  	  	  	  	0 	2	  	 	  	  	  	  	 0	 2	 0	 2	564877	490928
15	MISS 	Tim Sandkaulen                      	S	 1	 1	 7	7 	5 	  	 	  	 	  	  	  	  	 8	12	13	16	448641	      
15	MISS 	Finn Reynolds                       	S	 2	 4	 9	6 	1 	  	 	  	 	  	  	  	  	10	10	10	10	520891	      
15	MISS 	Nikola Slavic                       	S	 3	  	  	1 	0 	12	7	  	 	  	  	  	  	13	 7	13	 7	513419	      
15	MISS 	John Hallquist Lithen               	S	 4	  	  	  	  	1 	0	5 	6	6 	1 	  	  	12	 7	12	 7	561866	      
15	MISS 	Simon Junk                          	S	 5	  	  	  	  	  	 	5 	4	2 	6 	2 	1 	 9	11	 9	14	485272	      
15	MISS 	Lukas Engelhardt                    	S	 6	  	  	  	  	  	 	  	 	0 	3 	3 	4 	 3	 7	 3	 7	513418	      
15	MISS 	Jakob Cadonau                       	S	 7	  	  	  	  	  	 	  	 	0 	1 	3 	3 	 3	 4	 3	 4	564436	      
15	MISS 	Jan Soren Hain                      	S	 8	  	  	  	  	  	 	  	 	0 	1 	1 	1 	 1	 2	 1	 8	485280	      
15	MISS 	Brady Draheim                       	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 2	 7	561861	      
15	MISS 	Sandkaulen/Reynolds                 	D	 1	14	 2	  	  	  	 	  	 	  	  	  	  	14	 2	14	 2	448641	520891
15	MISS 	Draheim/Junk                        	D	 2	  	  	8 	7 	3 	2	  	 	  	  	  	  	11	 9	11	 9	561861	485272
15	MISS 	Cadonau/Engelhardt                  	D	 3	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	564436	513418
15	MISS 	Slavic/Hain                         	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	513419	485280
16	ILL  	Aleks Kovacevic                     	S	 1	10	 1	  	  	  	 	  	 	  	  	  	  	10	 1	10	 1	423252	      
16	ILL  	Siphosothando Montsi                	S	 2	 6	 1	7 	2 	2 	0	  	 	  	  	  	  	15	 3	15	 3	485650	      
16	ILL  	Alex Brown                          	S	 3	 0	 2	5 	5 	3 	2	  	 	  	  	  	  	 8	 9	 9	12	393009	      
16	ILL  	Zeke Clark                          	S	 4	  	  	  	  	10	0	6 	1	  	  	  	  	16	 1	19	 2	397557	      
16	ILL  	Hunter Heck                         	S	 5	  	  	  	  	  	 	3 	0	9 	4 	1 	1 	13	 5	16	 6	564624	      
16	ILL  	Noe Khlif                           	S	 6	  	  	  	  	  	 	8 	0	2 	1 	5 	0 	15	 1	15	 1	421665	      
16	ILL  	Kweisi Kenyatte                     	S	 7	  	  	  	  	  	 	0 	1	2 	1 	4 	4 	 6	 6	 7	 9	517923	      
16	ILL  	Lucas Horve                         	S	 8	  	  	  	  	  	 	  	 	  	  	3 	1 	 3	 1	 4	 3	485647	      
16	ILL  	Nic Meister                         	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	564623	      
16	ILL  	Vuk Budic                           	S	10	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	393582	      
16	ILL  	Alexander Petrov                    	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	564625	      
16	ILL  	Brown/Clark                         	D	 1	 8	 2	3 	0 	  	 	  	 	  	  	  	  	11	 2	11	 2	393009	397557
16	ILL  	Montsi/Khlif                        	D	 2	  	  	5 	1 	5 	1	  	 	  	  	  	  	10	 2	10	 2	485650	421665
16	ILL  	Kovacevic/Heck                      	D	 3	  	  	1 	0 	2 	1	  	 	  	  	  	  	 3	 1	 3	 1	423252	564624
16	ILL  	Budic/Horve                         	D	 4	  	  	  	  	0 	1	  	 	  	  	  	  	 0	 1	 0	 1	393582	485647
R2	ARIZ 	Gustaf Strom                        	S	 1	 3	 1	5 	1 	9 	0	  	 	  	  	  	  	17	 2	17	 2	564319	      
R2	ARIZ 	Jonas Ziverts                       	S	 2	 8	 7	1 	1 	  	 	  	 	  	  	  	  	 9	 8	 9	 8	497925	      
R2	ARIZ 	Filip Malbasic                      	S	 3	  	  	3 	3 	5 	4	6 	2	  	  	  	  	14	 9	14	 9	429133	      
R2	ARIZ 	Herman Hoyeraal                     	S	 4	  	  	  	  	  	 	  	 	1 	0 	3 	0 	 4	 0	 4	 0	567637	      
R2	ARIZ 	Alejandro Requant-Bicardi           	S	 5	 3	 0	4 	3 	1 	0	5 	3	  	  	  	  	13	 6	13	 6	444974	      
R2	ARIZ 	Carlos Hassey                       	S	 6	  	  	  	  	1 	0	1 	0	9 	6 	1 	1 	12	 7	12	 7	414150	      
R2	ARIZ 	Nick Lagaev                         	S	 7	  	  	1 	0 	1 	0	1 	0	2 	0 	8 	5 	13	 5	13	 5	513924	      
R2	ARIZ 	Hiroki Sakagawa                     	S	 8	  	  	  	  	  	 	  	 	3 	0 	  	  	 3	 0	 3	 0	513926	      
R2	ARIZ 	Igor Karpovets                      	S	 9	  	  	  	  	  	 	2 	0	0 	1 	  	  	 2	 1	 2	 1	420669	      
R2	ARIZ 	Jett Middleton                      	S	10	  	  	  	  	1 	0	1 	0	  	  	2 	0 	 4	 0	 4	 0	565303	      
R2	ARIZ 	Conner Olsen                        	S	11	  	  	  	  	  	 	  	 	  	  	2 	1 	 2	 1	 2	 1	489600	      
R2	ARIZ 	Jared Horwood                       	S	12	  	  	  	  	  	 	  	 	1 	0 	  	  	 1	 0	 1	 0	489599	      
R2	ARIZ 	Hassey/Requant-Bicardi              	D	 1	 1	 0	9 	3 	  	 	  	 	  	  	  	  	10	 3	10	 3	414150	444974
R2	ARIZ 	Ziverts/Hoyeraal                    	D	 2	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	497925	567637
R2	ARIZ 	Strom/Malbasic                      	D	 3	  	  	2 	0 	7 	5	  	 	  	  	  	  	 9	 5	 9	 5	564319	429133
R2	ARIZ 	MIddleton/Lagaev                    	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	565303	513924
R2	AZST 	Nathan Ponwith                      	S	 1	14	 7	1 	0 	  	 	  	 	  	  	  	  	15	 7	15	 7	491203	      
R2	AZST 	Baonoromandresy (makey) Rakotomalala	S	 2	 0	 1	4 	8 	3 	1	2 	0	  	  	  	  	 9	10	 9	10	443867	      
R2	AZST 	Tim Ruehl                           	S	 3	 1	 0	3 	3 	6 	2	  	 	  	  	  	  	10	 5	10	 5	447484	      
R2	AZST 	George Stoupe                       	S	 4	  	  	  	  	  	 	4 	4	3 	6 	3 	0 	10	10	10	10	521209	      
R2	AZST 	Max McKennon                        	S	 5	  	  	  	  	  	 	1 	2	3 	2 	0 	1 	 4	 5	 4	 5	565545	      
R2	AZST 	Christian Lerby                     	S	 6	  	  	  	  	2 	1	  	 	1 	1 	9 	5 	12	 7	12	 7	514394	      
R2	AZST 	Spencer Brachman                    	S	 7	  	  	  	  	  	 	  	 	0 	1 	1 	0 	 1	 1	 1	 1	565547	      
R2	AZST 	Jonah Wilson                        	S	 8	  	  	  	  	  	 	  	 	2 	0 	1 	2 	 3	 2	 3	 2	521211	      
R2	AZST 	Moritz Hoffmann                     	S	 9	  	  	  	  	  	 	  	 	1 	2 	  	  	 1	 2	 1	 2	565546	      
R2	AZST 	Rakotomalala/Ruehl                  	D	 1	 1	 2	5 	2 	  	 	  	 	  	  	  	  	 6	 4	 6	 4	443867	447484
R2	AZST 	McKennon/Ponwith                    	D	 2	 1	 1	4 	1 	  	 	  	 	  	  	  	  	 5	 2	 5	 2	565545	491203
R2	AZST 	Lerby/Stoupe                        	D	 3	  	  	  	  	3 	1	  	 	  	  	  	  	 3	 1	 3	 1	514394	521209
R2	AZST 	Hoffmann/Wilson                     	D	 4	  	  	  	  	1 	1	  	 	  	  	  	  	 1	 1	 1	 1	565546	521211
R2	BAMA 	Edson Ortiz                         	S	 1	 5	 5	5 	3 	2 	2	  	 	  	  	  	  	12	10	13	12	438760	      
R2	BAMA 	Patrick Kaukovalta                  	S	 2	 4	 3	3 	2 	2 	6	  	 	  	  	  	  	 9	11	15	17	420873	      
R2	BAMA 	Zhe Zhou                            	S	 3	 2	 6	4 	2 	3 	1	  	 	  	  	  	  	 9	 9	15	15	466235	      
R2	BAMA 	Riccardo Roberto                    	S	 4	  	  	0 	1 	  	 	5 	7	6 	0 	  	  	11	 8	19	12	445937	      
R2	BAMA 	Gabriel Diaz Freire                 	S	 5	  	  	2 	0 	2 	1	2 	4	3 	1 	1 	0 	10	 6	15	10	561865	      
R2	BAMA 	Alexey Nesterov                     	S	 6	  	  	  	  	  	 	2 	0	2 	0 	3 	6 	 7	 6	12	10	436560	      
R2	BAMA 	Jeremy Gschwendtner                 	S	 7	  	  	  	  	1 	0	2 	0	4 	3 	4 	1 	11	 4	20	 7	495917	      
R2	BAMA 	Marcelo Sepulveda Garza             	S	 8	  	  	  	  	  	 	  	 	  	  	1 	0 	 1	 0	 5	 7	509694	      
R2	BAMA 	Rudi Christiansen                   	S	 9	  	  	  	  	  	 	  	 	1 	0 	3 	0 	 4	 0	 6	 1	564297	      
R2	BAMA 	Vincent Rettke                      	S	10	  	  	  	  	1 	1	1 	0	1 	1 	1 	2 	 4	 4	13	 7	561863	      
R2	BAMA 	Sam Fischer                         	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 2	 4	406829	      
R2	BAMA 	Avi Shugar                          	S	12	  	  	  	  	  	 	  	 	  	  	1 	0 	 1	 0	 4	 4	509695	      
R2	BAMA 	Kaukovalta/Roberto                  	D	 1	10	 7	1 	2 	  	 	  	 	  	  	  	  	11	 9	16	14	420873	445937
R2	BAMA 	Nesterov/Ortiz                      	D	 2	  	  	3 	3 	4 	4	  	 	  	  	  	  	 7	 7	 7	 7	436560	438760
R2	BAMA 	Garza/Zhou                          	D	 3	  	  	  	  	0 	2	  	 	  	  	  	  	 0	 2	 0	 2	509694	466235
R2	BAMA 	Freire/Gschwendtner                 	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	561865	495917
R2	GT   	Marcus McDaniel                     	S	 1	10	 6	5 	0 	  	 	  	 	  	  	  	  	15	 6	15	 8	513069	      
R2	GT   	Andres Martin                       	S	 2	 3	 2	11	5 	  	 	  	 	  	  	  	  	14	 7	16	 8	513067	      
R2	GT   	Pablo Schelcher                     	S	 3	  	  	  	  	8 	5	3 	1	1 	1 	  	  	12	 7	13	 9	498474	      
R2	GT   	Keshav Chopra                       	S	 4	  	  	1 	0 	3 	5	8 	3	  	  	  	  	12	 8	14	 9	513068	      
R2	GT   	Brandon McKinney                    	S	 5	  	  	  	  	  	 	3 	2	7 	8 	  	  	10	10	12	11	513070	      
R2	GT   	Chen Dong                           	S	 6	  	  	  	  	  	 	  	 	  	  	11	4 	11	 4	12	 6	564844	      
R2	GT   	Brandon Freestone                   	S	 7	  	  	  	  	  	 	  	 	3 	0 	1 	1 	 4	 1	 6	 2	407969	      
R2	GT   	Zummy Bauer                         	S	 8	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	      	      
R2	GT   	McDaniel/Martin                     	D	 1	 5	 2	  	  	  	 	  	 	  	  	  	  	 5	 2	 5	 2	513069	513067
R2	GT   	Schelcher/Freestone                 	D	 2	  	  	6 	4 	  	 	  	 	  	  	  	  	 6	 4	 6	 4	498474	407969
R2	GT   	Chopra/Dong                         	D	 3	  	  	  	  	2 	1	  	 	  	  	  	  	 2	 1	 2	 1	513068	564844
R2	GT   	McKinney/Bauer                      	D	 4	  	  	  	  	6 	4	  	 	  	  	  	  	 6	 4	 6	 4	513070	      
R2	MSST 	Giovanni Oradini                    	S	 1	11	 7	0 	3 	  	 	  	 	  	  	  	  	11	10	17	14	438580	      
R2	MSST 	Florian Broska                      	S	 2	 4	 3	10	5 	  	 	  	 	  	  	  	  	14	 8	20	12	392974	      
R2	MSST 	Nemanja Malesevic                   	S	 3	  	  	4 	0 	9 	5	2 	2	  	  	  	  	15	 7	20	11	561124	      
R2	MSST 	Alberto Colas                       	S	 4	  	  	2 	0 	6 	1	6 	7	  	  	  	  	14	 8	 4	 6	520879	      
R2	MSST 	Carles Hernandez                    	S	 5	  	  	  	  	  	 	5 	0	9 	8 	  	  	14	 8	14	 8	561123	      
R2	MSST 	Davide Tortora                      	S	 6	  	  	  	  	  	 	  	 	  	  	7 	3 	 7	 3	13	 7	510661	      
R2	MSST 	Gregor Ramskogler                   	S	 7	  	  	  	  	  	 	1 	0	4 	1 	4 	8 	 9	 9	14	14	487240	      
R2	MSST 	Nicolas Ocana                       	S	 8	  	  	  	  	  	 	  	 	  	  	0 	1 	 0	 1	 4	 6	510659	      
R2	MSST 	Stedman Strickland                  	S	 9	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 9	487365	      
R2	MSST 	Broska/Ramskogler                   	D	 1	 7	 5	2 	1 	2 	0	  	 	  	  	  	  	11	 6	11	 6	392974	487240
R2	MSST 	Malesevic/Tortora                   	D	 2	  	  	3 	3 	3 	1	  	 	  	  	  	  	 6	 4	 9	 7	561124	510661
R2	MSST 	Ocana/Oradini                       	D	 3	  	  	  	  	2 	2	  	 	  	  	  	  	 2	 2	 2	 2	510659	438580
R2	MSST 	Colas/Hernandez                     	D	 4	  	  	  	  	1 	0	  	 	  	  	  	  	 1	 0	 1	 0	520879	561123
R2	NCST 	Alexis Galarneau                    	S	 1	10	 2	  	  	  	 	  	 	  	  	  	  	10	 2	10	 3	408573	      
R2	NCST 	Rafael Izquierdo Luque              	S	 2	 0	 1	2 	5 	5 	0	0 	2	  	  	  	  	 7	 8	 8	 9	514016	      
R2	NCST 	Tadas Babelis                       	S	 3	 0	 2	2 	1 	3 	4	0 	1	0 	1 	  	  	 5	 9	 6	10	387254	      
R2	NCST 	Yannai Barkai                       	S	 4	  	  	0 	1 	1 	2	3 	4	  	  	1 	1 	 5	 8	 7	 8	498083	      
R2	NCST 	Robin Catry                         	S	 5	  	  	1 	1 	1 	1	4 	3	4 	0 	  	  	10	 5	10	 6	515592	      
R2	NCST 	Robert Turzak                       	S	 6	  	  	  	  	0 	1	4 	1	2 	2 	  	  	 6	 4	 7	 5	459116	      
R2	NCST 	Martins Rocens                      	S	 7	  	  	  	  	  	 	  	 	1 	2 	4 	1 	 5	 3	 5	 5	514015	      
R2	NCST 	Joseph Schrader                     	S	 8	  	  	  	  	  	 	  	 	0 	1 	  	  	 0	 1	 0	 2	449869	      
R2	NCST 	Collin Shick                        	S	 9	  	  	  	  	  	 	  	 	  	  	0 	1 	 0	 1	 0	 2	451388	      
R2	NCST 	Tristan Smith                       	S	10	  	  	  	  	  	 	  	 	  	  	1 	0 	 1	 0	 1	 1	453139	      
R2	NCST 	Braden Shick                        	S	11	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	451388	      
R2	NCST 	Babelis/Barkai                      	D	 1	 4	 3	1 	0 	  	 	  	 	  	  	  	  	 5	 3	 6	 3	387254	498083
R2	NCST 	Catry/Galarneau                     	D	 2	  	  	2 	1 	  	 	  	 	  	  	  	  	 2	 1	 2	 1	515592	408573
R2	NCST 	Shick/Turzak                        	D	 3	  	  	  	  	0 	1	  	 	  	  	  	  	 0	 1	 0	 1	451388	459116
R2	NCST 	Luque/Schrader                      	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	514016	449869
R2	ND   	Axel Nefve                          	S	 1	13	 2	5 	1 	  	 	  	 	  	  	  	  	18	 3	18	 3	487492	      
R2	ND   	Richard Ciamarra                    	S	 2	 5	 3	9 	4 	  	 	  	 	  	  	  	  	14	 7	14	 7	397307	      
R2	ND   	Tristan McCormick                   	S	 3	  	  	2 	1 	8 	5	  	 	  	  	  	  	10	 6	10	 6	431354	      
R2	ND   	William Howells                     	S	 4	  	  	  	  	  	 	  	 	  	  	2 	1 	 2	 1	 2	 1	416900	      
R2	ND   	Matthew Che                         	S	 5	  	  	1 	0 	2 	4	3 	7	0 	1 	  	  	 6	12	 6	12	509880	      
R2	ND   	Connor Fu                           	S	 6	  	  	1 	0 	2 	0	4 	3	5 	5 	0 	1 	12	 9	12	 9	509883	      
R2	ND   	Brandon Ancona                      	S	 7	  	  	  	  	  	 	  	 	2 	1 	4 	5 	 6	 6	 6	 6	564605	      
R2	ND   	Jean-Marc Malkowski                 	S	 8	  	  	  	  	  	 	0 	1	2 	4 	1 	0 	 3	 5	 3	 5	564606	      
R2	ND   	Braeden Ho                          	S	 9	  	  	  	  	  	 	  	 	  	  	2 	2 	 2	 2	 2	 2	509881	      
R2	ND   	Matthew Gamble                      	S	10	  	  	  	  	0 	1	  	 	1 	0 	  	  	 1	 1	 1	 1	408747	      
R2	ND   	Andrew Mariados                     	S	11	  	  	  	  	  	 	  	 	  	  	2 	1 	 2	 1	 2	 1	487494	      
R2	ND   	Matt Halpin                         	S	12	  	  	  	  	  	 	1 	1	1 	0 	0 	1 	 2	 2	 2	 2	408747	      
R2	ND   	McCormick/Nefve                     	D	 1	10	 4	  	  	  	 	  	 	  	  	  	  	10	 4	10	 4	431354	487492
R2	ND   	Ancona/Howells                      	D	 2	  	  	4 	2 	3 	3	  	 	  	  	  	  	 7	 5	 7	 5	564605	416900
R2	ND   	Che/Ciamarra                        	D	 3	  	  	1 	1 	5 	0	  	 	  	  	  	  	 6	 1	 6	 1	509880	397307
R2	ND   	Gamble/Malkowski                    	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	408747	564606
R2	OKLA 	Jake Van Emburgh                    	S	 1	 4	 9	  	  	4 	1	  	 	  	  	  	  	 8	10	 8	13	459807	      
R2	OKLA 	Mason Beiler                        	S	 2	 1	 2	7 	4 	3 	2	  	 	  	  	  	  	11	 8	16	13	485308	      
R2	OKLA 	Alex Martinez Puigdellose           	S	 3	 0	 1	2 	3 	6 	2	4 	1	  	  	  	  	12	 7	15	13	520724	      
R2	OKLA 	Nathan Han                          	S	 4	  	  	  	  	  	 	2 	6	3 	1 	2 	0 	 7	 7	13	11	559729	      
R2	OKLA 	Justin Schlageter                   	S	 5	  	  	  	  	1 	0	  	 	3 	5 	2 	1 	 6	 6	10	12	520725	      
R2	OKLA 	Mark Mandlik                        	S	 6	 0	 2	1 	2 	1 	1	2 	3	1 	5 	1 	1 	 6	14	 6	14	511014	      
R2	OKLA 	Welsh Hotard                        	S	 7	  	  	  	  	  	 	  	 	0 	1 	6 	2 	 6	 3	12	 7	559728	      
R2	OKLA 	Jonathan Sheehy                     	S	 8	  	  	  	  	  	 	  	 	  	  	1 	0 	 1	 0	 2	 7	559730	      
R2	OKLA 	Max Stewart                         	S	 9	  	  	  	  	0 	1	  	 	1 	0 	2 	2 	 3	 3	 3	 3	454858	      
R2	OKLA 	Matt Rodriguez                      	S	10	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 3	 4	485309	      
R2	OKLA 	Mandlik/Stewart                     	D	 1	 0	 1	0 	1 	2 	1	  	 	  	  	  	  	 2	 3	 2	 3	511014	454858
R2	OKLA 	Van Emburgh/Puigdellose             	D	 2	  	  	0 	1 	  	 	  	 	  	  	  	  	 0	 1	 0	 1	459807	520724
R2	OKLA 	Han/Beiler                          	D	 3	  	  	  	  	1 	0	  	 	  	  	  	  	 1	 0	 1	 0	559729	485308
R2	OKLA 	Sheehy/Hotard                       	D	 4	  	  	  	  	  	 	  	 	  	  	  	  	 0	 0	 0	 0	559730	559728
R2	OKST 	Matej Vocel                         	S	 1	11	 5	  	  	  	 	  	 	  	  	  	  	11	 5	11	 5	487509	      
R2	OKST 	Henrik Korsgaard                    	S	 2	  	  	3 	2 	3 	7	3 	0	  	  	  	  	 9	 9	 9	 9	564471	      
R2	OKST 	Emile Hudd                          	S	 3	  	  	2 	5 	5 	2	  	 	  	  	  	  	 7	 7	 9	 9	487451	      
