seed	team	player	wins	losses	r2Id	masseyId	utrId	line	notes
  	AUB  	Tyler Stice                         	16	13	513853	331227	2088197	54	AL 
  	BYU  	Sean Hill                           	18	 3	415674	331430	  70508	30	ALT
  	TLSA 	Kody Pearson                        	13	 8	487890	331584	1260261	47	AL 
  	USD  	August Holmgren                     	14	 3	416362	332591	2542350	37	AQ 
 1	FLA  	Andy Andrade                        	24	 7	385909	331242	1880803	11	AL 
 1	FLA  	Ben Shelton                         	25	 5	561860	331252	 405468	  	   
 1	FLA  	Blaise Bicknell                     	28	 0	509770	331249	2585475	  	ALT
 1	FLA  	Brian Berdusco                      	 4	 3	488592	331220	  87428	  	   
 1	FLA  	Duarte Vale                         	24	 6	459591	331243	 159642	40	AL 
 1	FLA  	Johannes Ingildsen                  	 4	 3	417806	331713	  56678	  	   
 1	FLA  	Joshua Goodger                      	20	 0	511775	331250	 219037	  	   
 1	FLA  	Lukas Greif                         	12	 2	488587	331223	  77003	  	   
 1	FLA  	Sam Riffice                         	24	 7	488586	331244	2391589	25	AL 
 1	FLA  	Will Grant                          	 5	 2	509771	331238	  85355	  	   
 2	BAY  	Adrian Boitan                       	17	 5	497587	331562	2630972	34	AL 
 2	BAY  	Alex Garcia                         	 7	 0	521236	331566	1907335	  	   
 2	BAY  	Charlie Broom                       	25	 6	527260	331386	2610373	  	   
 2	BAY  	Christopher Frantzen                	 7	 0	509799	331572	 270027	  	   
 2	BAY  	Constantin Frantzen                 	 9	 0	407836	331569	  90471	  	   
 2	BAY  	Finn Bass                           	15	 3	497586	331383	  93368	  	   
 2	BAY  	Joseph Chen                         	 3	 0	521235	      	1971271	  	   
 2	BAY  	Matias Soto                         	18	 4	453651	331415	2497812	21	AL 
 2	BAY  	Nick Stachowiak                     	19	 7	562412	331387	1493215	  	   
 2	BAY  	Rahul Dhokia                        	 3	 2	512870	331416	2751002	  	   
 2	BAY  	Ryan Dickerson                      	12	 0	512869	331565	  57061	  	   
 2	BAY  	Sebastian Nothhaft                  	13	 5	521234	331385	 217711	  	   
 2	BAY  	Spencer Furman                      	23	 3	562413	331414	  40545	  	   
 2	BAY  	Sven Lah                            	12	13	424430	331420	2595796	  	   
 3	TENN 	Adam Walton                         	18	10	461891	331281	1607999	 5	AL 
 3	TENN 	Andrew Rogers                       	12	 3	446520	331442	  77574	  	   
 3	TENN 	Giles Hussey                        	29	 4	513101	331287	2587952	  	   
 3	TENN 	Joel Gamerov                        	 6	 5	527970	331283	1194434	  	   
 3	TENN 	Johannus Monday                     	31	 6	527971	331264	 246734	56	AL 
 3	TENN 	Josh Raab                           	 6	 3	527972	331288	  85708	  	   
 3	TENN 	Luca Wiedenmann                     	32	 4	463457	331284	1523057	  	   
 3	TENN 	Mark Wallner                        	12	 2	513103	331441	1695552	  	   
 3	TENN 	Martim Prata                        	23	12	497830	331261	1962718	42	AL 
 3	TENN 	Pat Harper                          	12	 5	488721	331286	1029709	  	   
 4	TEX  	Chih Chi Huang                      	16	17	486712	330872	2632113	  	   
 4	TEX  	Cleeve Harper                       	23	10	513840	330882	 298702	  	   
 4	TEX  	Eliot Spizzirri                     	24	 9	520306	330873	  85804	55	AL 
 4	TEX  	Eshan Talluri                       	 4	 7	513844	330891	 102846	  	   
 4	TEX  	Evin McDonald                       	16	16	513843	330888	  73736	  	   
 4	TEX  	Jacob Bullard                       	 8	 8	513842	330889	  85457	  	   
 4	TEX  	Leighton Allen                      	 5	11	528269	330886	 319318	  	   
 4	TEX  	Micah Braswell                      	34	 6	528270	330883	1079166	10	AL 
 4	TEX  	Nevin Arimilli                      	 9	 9	486710	331389	2103432	  	   
 4	TEX  	Payton Holden                       	 6	 3	528271	330884	1260444	  	   
 4	TEX  	Siem Woldeab                        	15	12	513841	331392	2511578	  	   
 5	UVA  	Alexander Kiefer                    	 4	 4	564149	332366	 288429	  	   
 5	UVA  	Carl Söderlund                      	12	 2	453365	331762	1880754	  	AQ 
 5	UVA  	Chris Rodesch                       	15	 6	564151	331770	 271417	  	   
 5	UVA  	Gianni Ross                         	13	 3	447059	331772	2527367	  	   
 5	UVA  	Inaki Montes De La Torre            	17	 4	564150	331768	2660017	  	   
 5	UVA  	Jeffrey Von Der Schulenburg         	16	 5	564166	331764	 274837	39	AL 
 5	UVA  	Ryan Goetz                          	17	 5	486444	331766	  77489	  	   
 5	UVA  	William Woodall                     	 4	 2	486442	335729	  85429	  	   
 6	UNC  	Adam Neff                           	 1	 3	564156	331517	1970448	  	   
 6	UNC  	Anuj Watane                         	 3	 2	514359	331503	1884433	  	   
 6	UNC  	Benjamin Sigouin                    	10	 9	451826	332063	 830070	  	ALT
 6	UNC  	Brian Cernoch                       	19	 5	491254	332053	  72898	  	   
 6	UNC  	Joshua Peck                         	 8	 3	440447	332054	1880727	  	   
 6	UNC  	Logan Zapp                          	 8	 4	564155	331515	  99352	  	   
 6	UNC  	Mac Kiger                           	 8	 6	421782	332064	2684756	  	   
 6	UNC  	Mark Dillon                         	 2	 2	517797	331514	 133397	  	   
 6	UNC  	Peter Murphy                        	 1	 1	564157	      	2087030	  	   
 6	UNC  	Rinky Hijikata                      	12	 2	514358	331646	1609719	24	AL 
 6	UNC  	Simon Soendergaard                  	12	 6	453379	331648	1971103	  	   
 6	UNC  	William Blumberg                    	10	 3	390976	331520	1712358	46	AL 
 7	TCU  	Alastair Gray                       	15	 7	411457	331793	 169607	60	AQ 
 7	TCU  	Bertus Kruger                       	 2	 2	423670	332559	 163418	  	   
 7	TCU  	Eduardo Roldan                      	 5	 4	446658	331393	 264338	  	   
 7	TCU  	Jacob Fearnley                      	16	 5	514378	331396	 235420	  	   
 7	TCU  	Juan Martin                         	14	 6	489299	331395	2683294	  	   
 7	TCU  	Luc Fomba                           	21	 8	489297	331394	1310048	13	AL 
 7	TCU  	Max Kurzban                         	 2	10	424063	331391	1906387	  	   
 7	TCU  	Sander Jong                         	11	 8	489298	331526	1243900	  	   
 7	TCU  	Tadeas Paroulek                     	 9	12	516558	331531	1711965	  	   
 7	TCU  	Tomas Jirousek                      	 8	 5	521012	331525	 192737	  	   
 8	A&M  	Austin Abbrat                       	 1	 1	485535	331527	 909668	  	   
 8	A&M  	Barnaby Smith                       	 9	 2	452706	331208	 149471	  	   
 8	A&M  	Bjorn Thomson                       	 8	 5	562733	331403	2527549	  	   
 8	A&M  	Guido Marson                        	 8	 8	485531	331193	 169634	  	   
 8	A&M  	Hady Habib                          	17	 5	412687	331179	1233129	48	AL 
 8	A&M  	Juan Carlos Aguilar                 	15	10	384588	331180	2085752	58	AL 
 8	A&M  	Kenner Taylor                       	 6	 3	513402	331187	 104754	  	   
 8	A&M  	Noah Schachter                      	19	16	485543	331182	 205635	  	   
 8	A&M  	Pierce Rollins                      	17	 9	513401	331178	  85372	  	   
 8	A&M  	Pranav Kumar                        	 1	 3	423935	331211	 178567	  	   
 8	A&M  	Raphael Perot                       	15	10	562734	331185	 273214	  	   
 8	A&M  	Stefan Storch                       	 6	 2	513403	331186	 210390	  	   
 8	A&M  	Valentin Vacherot                   	22	 5	459505	331204	 167756	17	AL 
 9	UCF  	Alan Rubio                          	13	 8	447396	332286	1252179	  	   
 9	UCF  	Bogdan Pavel                        	 2	 3	487279	332288	 115183	  	   
 9	UCF  	Gabriel Decamps                     	17	 4	401237	332283	2605771	 9	AQ 
 9	UCF  	Juan Pablo Grassi Mazzuchi          	15	 6	487277	332285	1033825	  	   
 9	UCF  	Kento Yamada                        	18	 1	563343	333442	2085673	  	   
 9	UCF  	Mikhail Sokolovskiy                 	14	 6	453412	332287	1608034	  	   
 9	UCF  	Trey Hilderbrand                    	18	 5	487278	332284	  57785	  	   
10	WAKE 	Adam Ambrozy                        	11	 1	565786	331940	  73663	  	   
10	WAKE 	Eduardo Nava                        	17	 4	436186	332049	 956360	22	AL 
10	WAKE 	Filippo Moroni                      	10	 4	564331	332468	 224352	  	   
10	WAKE 	Henri Squire                        	17	 6	521020	332467	 236405	36	AL 
10	WAKE 	Juan Lopez De Azcona                	 2	 0	514705	      	1499058	  	   
10	WAKE 	Luciano Tacchi                      	 7	 0	564320	333295	 275318	  	   
10	WAKE 	Matthew Thomson                     	 5	 0	514701	332448	 920262	  	   
10	WAKE 	Melios Efstathiou                   	12	 8	490437	331938	1863637	  	   
10	WAKE 	Robert Maciag                       	11	 3	514702	331939	  66137	  	   
10	WAKE 	Rrezart Cungu                       	21	 4	399843	332447	  79806	  	   
10	WAKE 	Siddhant Banthia                    	20	 4	497656	332050	2043797	  	   
10	WAKE 	Taha Baadi                          	13	 9	521019	332682	 170788	  	   
10	WAKE 	Taye Dupree                         	 1	 0	490434	      	1907279	  	   
11	UGA  	Baptiste Anselmo                    	 8	 9	511559	331267	 251648	  	   
11	UGA  	Billy Rowe                          	16	10	562702	331402	  62831	  	   
11	UGA  	Blake Croyder                       	17	12	487816	331256	1251097	  	   
11	UGA  	Britton Johnston                    	 4	 9	487818	331258	2588009	  	   
11	UGA  	Erik Grevelius                      	16	 8	511567	331269	2588682	  	   
11	UGA  	Niklas Von Hellens                  	 2	 5	561764	331273	2557633	  	   
11	UGA  	Philip Henning                      	19	10	498428	331263	 214601	 4	AL 
11	UGA  	Trent Bryde                         	15	13	498429	331260	  76957	52	AL 
11	UGA  	Tyler Zink                          	12	 9	511569	331271	2531094	31	AL 
12	USC  	Bradley Frye                        	18	 5	486015	332041	1608061	  	   
12	USC  	Colter Smith                        	 6	 0	510837	      	  85299	  	   
12	USC  	Daniel Cukierman                    	16	 5	399776	332055	1228093	59	AQ 
12	USC  	Jake Sands                          	14	 4	486016	332255	1229206	  	   
12	USC  	Lodewijk Weststrate                 	24	 4	563765	332045	 235464	  	   
12	USC  	Mor Bulis                           	 4	 3	498366	332561	  55414	  	   
12	USC  	Riley Smith                         	15	 6	453064	332056	 233231	19	AL 
12	USC  	Ryder Jackson                       	 6	 2	510836	332043	2723765	  	   
12	USC  	Sean Holt                           	 1	 2	563764	      	 554872	  	   
12	USC  	Stefan Dostanic                     	19	 3	510835	332039	2118844	  	   
13	SCAR 	Beau Pelletier                      	 7	 6	485952	331282	 217439	  	   
13	SCAR 	Bruno Oliveira                      	 0	 2	528049	      	2038245	  	   
13	SCAR 	Carter Morgan                       	 2	 7	528048	331275	2008513	  	   
13	SCAR 	Connor Thomson                      	18	12	511597	331272	 253155	 7	AL 
13	SCAR 	Daniel Rodrigues                    	26	 6	485261	331280	 225572	64	AL 
13	SCAR 	Jake Beasley                        	19	10	485248	331279	 315203	  	   
13	SCAR 	Phillip Jordan                      	11	16	511593	331257	1635569	  	   
13	SCAR 	Raphael Lambling                    	12	18	485260	331262	 196286	  	ALT
13	SCAR 	Thomas Brown                        	11	 7	393233	331278	1888427	  	   
13	SCAR 	Toby Samuel                         	26	 7	528050	331285	 274895	  	   
14	UK   	Alexandre Leblanc                   	 6	10	511973	331265	 245355	  	   
14	UK   	Cesar Bourgois                      	15	 7	391889	332019	2543671	  	   
14	UK   	Gabriel Diallo                      	19	 8	511971	331277	 215644	44	AL 
14	UK   	Heman Nama                          	 2	 4	520896	331259	1630692	  	   
14	UK   	Jonathan Sorbo                      	 4	 4	497643	331270	 143944	  	   
14	UK   	Joshua Lapadat                      	11	10	561767	331276	2561007	  	   
14	UK   	Liam Draxl                          	21	 2	511968	332018	2204714	 1	AQ 
14	UK   	Mathis Moysan                       	 4	 3	564879	332020	 275156	  	   
14	UK   	Millen Hurrion                      	19	 7	511970	331266	1032400	50	AL 
14	UK   	Tate Sandman                        	 1	 4	561768	331274	 120745	  	   
14	UK   	Yasha Zemel                         	 7	 6	564877	332480	 291542	  	   
14	UK   	Ying-Ze Chen                        	 1	 5	490928	331268	 141686	  	   
15	MISS 	Brady Draheim                       	 2	 7	561861	331232	  77425	  	   
15	MISS 	Cotter Wilson                       	 3	 6	464055	331253	 947319	  	   
15	MISS 	Finn Reynolds                       	10	10	520891	331848	1332906	29	AL 
15	MISS 	Jakob Cadonau                       	 3	 4	564436	331851	 275336	  	   
15	MISS 	Jan Soeren Hain                     	 1	 8	485280	331439	2502777	  	   
15	MISS 	John Hallquist Lithen               	14	 7	561866	331850	2095342	  	   
15	MISS 	Lukas Engelhardt                    	 4	 7	513418	334139	 212729	  	   
15	MISS 	Nikola Slavic                       	14	 7	513419	331849	 271469	14	AL 
15	MISS 	Simon Junk                          	10	14	485272	331501	 235501	  	   
15	MISS 	Tim Sandkaulen                      	14	16	448641	331248	  64506	38	AL 
16	ILL  	Aleksandar Kovacevic                	11	 1	423252	332963	 919337	53	AL 
16	ILL  	Alex Bancila                        	 4	 1	497256	333378	  85738	  	   
16	ILL  	Alex Brown                          	10	12	393009	332964	 743551	  	   
16	ILL  	Alexander Petrov                    	 2	 2	564625	357293	2037805	  	   
16	ILL  	Hunter Heck                         	17	 6	564624	332968	2560997	  	   
16	ILL  	Kweisi Kenyatte                     	 7	 8	517923	332967	1608011	  	   
16	ILL  	Lucas Horve                         	 4	 4	485647	333377	 901225	  	   
16	ILL  	Nic Meister                         	 6	 2	564623	357294	1198131	  	   
16	ILL  	Noe Khlif                           	17	 1	421665	334145	2698933	  	   
16	ILL  	Siphosothando Montsi                	16	 3	485650	332965	1887481	32	AL 
16	ILL  	Vuk Budic                           	 0	 3	393582	343000	1047024	  	   
16	ILL  	Zeke Clark                          	20	 2	397557	332966	1489870	 8	AQ 
R2	ARIZ 	Alejandro Requant-Bicardi           	15	 6	444974	331854	1905234	  	   
R2	ARIZ 	Carlos Hassey                       	14	 7	414150	331857	1707449	  	   
R2	ARIZ 	Conner Olsen                        	 2	 1	489600	331868	 112713	  	   
R2	ARIZ 	Filip Malbasic                      	15	10	429133	331856	  86068	  	   
R2	ARIZ 	Gustaf Strom                        	18	 3	564319	331855	2600324	18	AL 
R2	ARIZ 	Herman Hoyeraal                     	 5	 1	567637	331858	1861923	  	   
R2	ARIZ 	Hiroki Sakagawa                     	 3	 0	513926	333376	1966130	  	   
R2	ARIZ 	Igor Karpovets                      	 2	 1	420669	331863	 158358	  	   
R2	ARIZ 	Jared Horwood                       	 1	 0	489599	331865	 239708	  	   
R2	ARIZ 	Jett Middleton                      	 4	 0	565303	      	  85690	  	   
R2	ARIZ 	Jonas Ziverts                       	10	 9	497925	331853	  86273	  	   
R2	ARIZ 	Nick Lagaev                         	13	 5	513924	331860	1228823	  	   
R2	AZST 	Andrea Bolla                        	12	 5	391323	332173	 191099	  	   
R2	AZST 	Baonoromandresy (makey) Rakotomalala	 9	11	443867	332171	2566340	  	   
R2	AZST 	Christian Lerby                     	12	 8	514394	332494	 235466	  	   
R2	AZST 	George Stoupe                       	11	11	521209	332176	1158239	  	   
R2	AZST 	Jonah Wilson                        	 3	 2	521211	332495	2540329	  	   
R2	AZST 	Max McKennon                        	 5	 6	565545	332174	1711943	  	   
R2	AZST 	Moritz Hoffmann                     	 1	 2	565546	      	 271413	  	   
R2	AZST 	Nathan Ponwith                      	15	 9	491203	332172	  39539	26	ALT
R2	AZST 	Spencer Brachman                    	 1	 2	565547	      	2087706	  	   
R2	AZST 	Tim Ruehl                           	11	 5	447484	332610	2021122	  	   
R2	AZST 	Tom Leblanc                         	 1	 0	521210	332873	2555356	  	   
R2	BAMA 	Alexey Nesterov                     	13	10	436560	331219	1705463	  	   
R2	BAMA 	Avi Shugar                          	 5	 4	509695	331231	 101883	  	   
R2	BAMA 	Edson Ortiz                         	13	14	438760	331254	1017726	27	AL 
R2	BAMA 	Gabriel Diaz Freire                 	15	10	561865	331235	2624834	  	   
R2	BAMA 	Jeremy Gschwendtner                 	21	 7	495917	331228	 168002	  	   
R2	BAMA 	Marcelo Sepulveda Garza             	 6	 7	509694	331241	1880729	  	   
R2	BAMA 	Patrick Kaukovalta                  	15	18	420873	331216	1040513	  	   
R2	BAMA 	Riccardo Roberto                    	19	13	445937	331221	 109254	  	   
R2	BAMA 	Rudi Christiansen                   	 6	 1	564297	331502	2204070	  	   
R2	BAMA 	Sam Fischer                         	 2	 4	406829	331214	1034832	  	   
R2	BAMA 	Vincent Rettke                      	13	 7	561863	331233	  77310	  	   
R2	BAMA 	Zhe Zhou                            	15	16	466235	331225	2602645	  	ALT
R2	GT   	Andres Martin                       	17	 8	513067	331608	  85748	28	AL 
R2	GT   	Brandon Freestone                   	 6	 3	407969	331609	  77300	  	   
R2	GT   	Brandon McKinney                    	12	12	513070	331604	 225033	  	   
R2	GT   	Chen Dong                           	12	 6	564844	331606	2702315	  	   
R2	GT   	Cole Gromley                        	 1	 1	486436	332154	1608057	  	   
R2	GT   	Keshav Chopra                       	14	10	513068	331607	  85542	  	   
R2	GT   	Marcus McDaniel                     	16	 8	513069	331610	2530147	62	AL 
R2	GT   	Pablo Schelcher                     	13	 9	498474	331605	 210365	  	   
R2	MSST 	Alberto Colas                       	20	13	520879	331190	 271315	  	   
R2	MSST 	Carles Hernandez                    	16	 8	561123	331595	 277743	  	   
R2	MSST 	Davide Tortora                      	13	 7	510661	331183	 273166	  	   
R2	MSST 	Florian Broska                      	19	14	392974	331195	 115141	35	AL 
R2	MSST 	Giovanni Oradini                    	11	11	438580	332233	  73952	15	AL 
R2	MSST 	Gregor Ramskogler                   	16	14	487240	331181	  87195	  	   
R2	MSST 	Nemanja Malesevic                   	21	11	561124	331188	2649093	  	ALT
R2	MSST 	Nicolas Ocana                       	 5	 6	510659	331191	1564525	  	   
R2	MSST 	Stedman Strickland                  	 0	 9	487365	331199	 100013	  	   
R2	NCST 	Alexis Galarneau                    	10	 4	408573	331654	 218755	51	AL 
R2	NCST 	Collin Shick                        	 0	 2	451388	331638	 376121	  	   
R2	NCST 	Joseph Schrader                     	 0	 2	449869	331642	2537948	  	   
R2	NCST 	Martins Rocens                      	 6	 4	514015	331636	 192692	  	   
R2	NCST 	Rafa Izquierdo Luque                	 8	 9	514016	331634	1594906	  	   
R2	NCST 	Robert Turzak                       	 5	 6	459116	332466	1906381	  	   
R2	NCST 	Robin Catry                         	10	 6	515592	331632	 275026	  	   
R2	NCST 	Tadas Babelis                       	 6	11	387254	331640	  73232	  	   
R2	NCST 	Tristan Smith                       	 1	 0	453139	      	1880865	  	   
R2	NCST 	Yannai Barkai                       	 7	 8	498083	331643	  67444	  	   
R2	ND   	Andrew Mariados                     	 2	 1	487494	331839	  85789	  	   
R2	ND   	Axel Nefve                          	18	 4	487492	331831	1608070	 3	AL 
R2	ND   	Braeden Ho                          	 2	 2	509881	331846	 104394	  	   
R2	ND   	Brandon Ancona                      	 7	 7	564605	331965	2540306	  	   
R2	ND   	Connor Fu                           	13	10	509883	331842	 187871	  	   
R2	ND   	Jean Marc Malkowski                 	 3	 5	564606	331844	1228757	  	   
R2	ND   	Matt Gamble                         	 1	 1	408747	331845	1032485	  	   
R2	ND   	Matthew Che                         	 6	12	509880	331835	1885645	  	   
R2	ND   	Matthew Halpin                      	 2	 2	509882	331837	 366175	  	   
R2	ND   	Richard Ciamarra                    	15	 7	397307	331841	  61538	  	   
R2	ND   	Tristan McCormick                   	10	 7	431354	331833	2540004	  	   
R2	ND   	William Howells                     	 3	 1	416900	335335	 319231	  	   
R2	OKLA 	Alex Martinez Puigdellose           	15	13	520724	330874	2509587	  	   
R2	OKLA 	Jake Van Emburgh                    	 8	14	459807	331384	2630299	  	   
R2	OKLA 	Jonathan Sheehy                     	 2	 7	559730	330887	 362824	  	   
R2	OKLA 	Justin Schlageter                   	11	13	520725	330876	2502802	  	   
R2	OKLA 	Mark Mandlik                        	 6	14	511014	331533	2093382	  	   
R2	OKLA 	Mason Beiler                        	17	14	485308	330870	1263693	  	   
R2	OKLA 	Matt Rodriguez                      	 3	 4	485309	330893	1263690	  	   
R2	OKLA 	Max Stewart                         	 3	 3	454858	331537	  93151	  	   
R2	OKLA 	Nathan Han                          	15	11	559729	330881	2547821	  	   
R2	OKLA 	Welsh Hotard                        	13	 7	559728	330879	 804804	  	   
R2	OKST 	Dominik Kellovsky                   	 5	 8	514377	331554	2564610	  	   
R2	OKST 	Emile Hudd                          	 9	 9	487451	331390	 208928	  	   
R2	OKST 	Etienne Donnet                      	10	15	520763	331388	2586078	  	   
R2	OKST 	Henrik Korsgaard                    	 9	 9	564471	331557	1607982	  	   
R2	OKST 	Luke Hammond                        	 0	 2	413300	331397	 114409	  	   
R2	OKST 	Matej Vocel                         	12	 5	487509	331552	 154537	57	AL 
R2	OKST 	Mathieu Scaglia                     	 9	 9	449242	331560	2738420	  	   
R2	OKST 	Matisse Bobichon                    	 5	 4	564712	331589	 275035	  	   
R2	OKST 	Maxim Tybar                         	 1	 0	459164	334430	1872203	  	   
R2	OSU  	Cannon Kingsley                     	27	 0	511704	331917	1906302	45	AL 
R2	OSU  	Jacob Wareti                        	 1	 3	462064	344157	  77015	  	   
R2	OSU  	James Trotter                       	15	 1	485329	332001	2542115	  	   
R2	OSU  	JJ Mercer                           	 4	 3	511707	357295	 786446	  	   
R2	OSU  	JJ Tracy                            	26	 3	564703	331919	2653087	  	   
R2	OSU  	John McNally                        	22	 5	432019	332000	2204585	 2	AL 
R2	OSU  	Justin Boulais                      	 6	 2	511705	333289	2530168	  	   
R2	OSU  	Kyle Seelig                         	19	 8	450412	331918	  33380	  	   
R2	OSU  	Lacelot Carnello                    	 0	 1	564807	      	1784522	  	   
R2	OSU  	Robert Cash                         	17	 4	511706	332002	  85660	  	   
R2	OSU  	Tim Seibert                         	 2	 0	450476	333293	2552995	  	   
R2	PEPP 	Adrian Oetzbach                     	 8	12	488802	332009	1707234	  	   
R2	PEPP 	Corrado Summaria                    	 8	10	501835	332011	2628275	  	   
R2	PEPP 	Daniel De Jonge                     	12	 5	523004	333036	1959699	  	   
R2	PEPP 	Guy Den Ouden                       	16	 5	563775	332010	1162984	  	   
R2	PEPP 	Pawel Jankowiak                     	 2	 4	488801	332613	 407013	  	   
R2	PEPP 	Pietro Fellin                       	10	 5	521203	332612	 262366	  	   
R2	PEPP 	Robert Shelton                      	 9	 6	515020	332611	1609426	  	   
R2	PEPP 	Tim Zeitvogel                       	 9	 0	497648	334999	1740785	  	   
R2	PEPP 	Tom Grosjean                        	 0	 2	563774	      	 194203	  	   
R2	STAN 	Alex Lee                            	 1	 1	568937	      	2727863	  	   
R2	STAN 	Alexandre Rotsaert                  	 5	 7	488298	335291	  76872	  	   
R2	STAN 	Arthur Fery                         	13	 3	564316	335006	 274896	  	   
R2	STAN 	Aryan Chaudhary                     	 1	 1	568936	      	  68957	  	   
R2	STAN 	Axel Geller                         	 6	 6	409496	335292	 196281	  	ALT
R2	STAN 	Filip Kolasinski                    	 1	 0	512403	335295	 242514	  	   
R2	STAN 	Neel Rajesh                         	 6	 3	512404	335010	 450275	  	   
R2	STAN 	Sangeet Sridhar                     	 1	 2	488299	335293	1906138	  	   
R2	STAN 	Timothy Sah                         	 8	 5	448080	335007	  76942	  	   
R2	STAN 	Tristan Boyer                       	 8	 6	564317	335005	  85308	  	   
R2	STAN 	William Genesen                     	 5	 3	409523	335008	  42081	  	   
R2	TTU  	Connor Johnson                      	 2	 6	520547	330878	2093451	  	   
R2	TTU  	Dimitrios Azoidis                   	16	10	561078	330877	2557540	  	   
R2	TTU  	Francisco Vittar                    	 3	 5	509800	330880	 183984	  	   
R2	TTU  	Franco Ribero                       	12	11	497381	330885	2007644	  	   
R2	TTU  	Ilgiz Valiev                        	15	14	459644	330875	 194296	  	   
R2	TTU  	Isaac Arevalo                       	14	 7	520546	330892	 205089	  	   
R2	TTU  	Justin Bloss                        	 0	 6	390956	331406	 380660	  	   
R2	TTU  	Parker Wynn                         	 9	15	485875	330871	 931277	  	   
R2	TTU  	Reed Collier                        	15	 9	509737	330890	  85466	  	   
R2	TULN 	Akos Kotorman                       	 2	 3	485685	331893	 125074	  	   
R2	TULN 	Billy Suarez                        	10	 7	527618	331885	  85360	  	   
R2	TULN 	Charlie Barry                       	 0	 1	520554	      	 275124	  	   
R2	TULN 	Ewan Moore                          	10	 7	434419	331890	2547215	  	   
R2	TULN 	Fynn Kuenkler                       	 5	 9	527616	331891	1821612	  	   
R2	TULN 	Hamish Stewart                      	13	 7	454831	331882	1608055	43	AL 
R2	TULN 	Henry Lovett                        	 2	 0	510074	331888	 100585	  	   
R2	TULN 	Jeremy Schifris                     	 2	 2	527617	331889	2548169	  	   
R2	TULN 	Luis Erlenbusch                     	15	 5	405135	331884	  82502	  	   
R2	TULN 	Rafael De Alba                      	12	 5	527615	331887	2647825	  	   
