matchNum	line		round	date	time	seed	team	last	name	set1	set1tb	set2	set2tb	set3	set3tb	set4	set4tb	set5	set5tb	sets	def	x	y	rating	ewp	utr		ita	teamId	tickerName	id
401	1		64	5/23/2021	10:00am	1	UK	Draxl	Liam Draxl	2		6		7	7					2		◀		99.35	61%	13.78	1	2		Liam Draxl	511968
401	2		64	5/23/2021	10:00am		OSU	McNally	John McNally	6		1		6	4					1				98.55	39%	13.49	136	10		John McNally	432019
402	1		64	5/23/2021	10:00am		ND	Nefve	Axel Nefve	6		4		7						2		◀		97.64	81%	13.59	36	16		Axel Nefve	487492402	2		64	5/23/2021	10:00am		UGA	Henning	Philip Henning	4		6		5						1				95.18	19%	13.20	19	62		Philip Henning	498428
402	2		64	5/23/2021	10:00am		UGA	Henning	Philip Henning	4		6		5						1				95.18	19%	13.20	19	62		Philip Henning	498428
403	1		64	5/23/2021	6:00pm	9	TENN	Walton	Adam Walton	7		6								2		◀		97.43	89%	13.48	10	29		Adam Walton	461891
403	2		64	5/23/2021	6:00pm		DEN	Davis	James Davis	5		2								0				93.73	11%	12.62	93	126		James Davis	486502
404	1		64	5/23/2021	3:30pm		SCAR	Thomson	Connor Thomson	2		1								0				95.03	49%	13.05	22	63		Connor Thomson	511597
404	2		64	5/23/2021	3:30pm		ILL	Clark	Zeke Clark	6		6								2		◀		95.13	51%	13.30	95	60		Zeke Clark	397557
405	1		64	5/23/2021	6:30pm	8	UCF	Decamps	Gabriel Decamps	2		6		7	9					2		◀		97.76	70%	13.69	9	20		Gabriel Decamps	401237
405	2		64	5/23/2021	6:30pm		TEX	Braswell	Micah Braswell	6		1		6	7					1				96.30	30%	13.43	38	31		Micah Braswell	528270
406	1		64	5/23/2021	6:30pm		FLA	Andrade	Andy Andrade	7	7	6								2		◀		96.25	71%	13.39	18	36		Andy Andrade	385909
406	2		64	5/23/2021	6:30pm		MTSU	Rocha	Francisco Rocha	6	2	0								0				94.70	29%	12.97	55	105		Francisco Rocha	485275
407	1		64	5/23/2021	10:00am	9	TCU	Fomba	Luc Fomba	6		4		6						2		◀		97.23	84%	13.43	17	17		Luc Fomba	489297
407	2		64	5/23/2021	10:00am		MISS	Slavic	Nikola Slavic	3		6		4						1				94.37	16%	13.08	29	91		Nikola Slavic	513419
408	1		64	5/23/2021	10:00am		MSST	Oradini	Giovanni Oradini	6		2		6						2		◀		95.80	43%	13.16	20	77		Giovanni Oradini	438580
408	2		64	5/23/2021	10:00am		WICH	Dellien	Murkel Dellien	4		6		2						1				96.30	57%	13.39	39	37		Murkel Dellien	401620
409	1		64	5/23/2021	1:30pm	4	A&M	Vacherot	Valentin Vacherot	2		7		6						2		◀		98.47	78%	13.73	5	6		Valentin Vacherot	459505
409	2		64	5/23/2021	1:30pm		ARIZ	Strom	Gustaf Strom	6		5		3						1				96.28	22%	13.47	45	11		Gustaf Strom	564319
410	1		64	5/23/2021	2:00pm		USC	Smith	Riley Smith	7	7	6	5	7	7					2		◀		96.49	70%	13.41	52	42		Riley Smith	453064
410	2		64	5/23/2021	2:00pm		VCU	Cronje	Lleyton Cronje	6	5	7	7	6	5					1				94.97	30%	12.94	76	107		Lleyton Cronje	513983
411	1		64	5/23/2021	7:00pm	9	BAY	Soto	Matias Soto	4		3								0				97.37	73%	13.75	11	18		Matias Soto	453651
411	2		64	5/23/2021	7:00pm		WAKE	Nava	Eduardo Nava	6		6								2		◀		95.64	27%	13.24	40	47		Eduardo Nava	436186
412	1		64	5/23/2021	4:30pm		LSU	Hohmann	Ronnie Hohmann	2		6		6	4					1				95.45	26%	13.13	31	102		Ronnie Hohmann	520221
412	2		64	5/23/2021	4:30pm		UNC	Hijikata	Rinky Hijikata	6		4		7	7					2		◀		97.29	74%	13.62	24	19		Rinky Hijikata	514358
413	1		64	5/23/2021	6:00pm	6	FLA	Riffice	Sam Riffice	1		7		6						2		◀		97.25	58%	13.61	6	26		Sam Riffice	488586
413	2		64	5/23/2021	6:00pm		AZST	Ponwith	Nathan Ponwith	6		5		2						1				96.71	42%	13.30	79	44		Nathan Ponwith	491203
414	1		64	5/23/2021	4:30pm		BAMA	Ortiz	Edson Ortiz	7	7	6	6	1						1				94.42	34%	12.90	43	110		Edson Ortiz	438760
414	2		64	5/23/2021	4:30pm		GT	Martin	Andres Martin	6	2	7	8	6						2		◀		95.59	66%		46	74		Andres Martin	513067
415	1		64	5/23/2021	7:30pm	9	MISS	Reynolds	Finn Reynolds	6		6								2		◀		96.52	47%	13.31	16	59		Finn Reynolds	520891
415	2		64	5/23/2021	7:30pm		BYU	Hill	Sean Hill	3		3								0				96.73	53%	13.41	135	38		Sean Hill	415674
416	1		64	5/23/2021	1:00pm		UGA	Zink	Tyler Zink	3		2								0				95.24	29%	13.12	27	81		Tyler Zink	511569
416	2		64	5/23/2021	1:00pm		WAKE	Montsi	Siphosothando Montsi	6		6								2		◀		96.77	71%	13.33	110	22		Siphosothando Montsi	485650
417	1		64	5/23/2021	6:00pm		FGCU	Johnson	Janmagnus Johnson	1		6		3						1				95.12	16%	13.20	83	104		Janmagnus Johnson	566473
417	2		64	5/23/2021	6:00pm		BAY	Boitan	Adrian Boitan	6		4		6						2		◀		97.98	84%	13.49	21	13		Adrian Boitan	497587
418	1		64	5/23/2021	3:00pm		MSST	Broska	Florian Broska	6		6								2		◀		95.42	13%	13.29	48	80		Florian Broska	392974
418	2		64	5/23/2021	3:00pm	9	WAKE	Squire	Henri Squire	4		2								0				98.74	87%	13.77	13	12		Henri Squire	521020
419	1		64	5/23/2021	4:30pm		USD	Holmgren	August Holmgren	7		3		6						2		◀		97.78	83%	13.46	85	27		August Holmgren	416362
419	2		64	5/23/2021	4:30pm		MISS	Sandkaulen	Tim Sandkaulen	5		6		4						1				95.06	17%	13.11	32	96		Tim Sandkaulen	448641
420	1		64	5/23/2021	6:00pm		UVA	Von Der Schulenburg	Jeffrey Von Der Schulenburg	1		0								0				96.31	24%	13.35	44	35		Jeffrey Von Der Schulenburg	564166
420	2		64	5/23/2021	6:00pm	5	FLA	Vale	Duarte Vale	6		6								2		◀		98.31	76%	13.59	4	14		Duarte Vale	459591
421	1		64	5/23/2021	6:30pm		SALA	Evrard	Julien Evrard	4		4								0				93.75	32%	12.80	75	125		Julien Evrard	562312
421	2		64	5/23/2021	6:30pm		TENN	Prata	Martim Prata	6		6								2		◀		95.08	68%	13.18	41	90		Martim Prata	497830
422	1		64	5/23/2021	3:00pm		TULN	Stewart	Hamish Stewart	4		7	7	3						1				96.51	54%	13.42	34	56		Hamish Stewart	454831
422	2		64	5/23/2021	3:00pm	9	UK	Diallo	Gabriel Diallo	6		6	4	6						2		◀		96.25	46%	13.29	14	46		Gabriel Diallo	511971
423	1		64	5/23/2021	1:00pm		OSU	Kingsley	Cannon Kingsley	4		4								0				98.52	43%	13.64	107	7		Cannon Kingsley	511704
423	2		64	5/23/2021	1:00pm		UNC	Blumberg	William Blumberg	6		6								2		◀		99.02	57%	13.63	35	8		William Blumberg	390976
424	1		64	5/23/2021	1:30pm		TLSA	Pearson	Kody Pearson	2		1								0				95.49	22%	13.16	50	75		Kody Pearson	487890
424	2		64	5/23/2021	1:30pm	3	A&M	Habib	Hady Habib	6		6								2		◀		97.73	78%	13.65	3	21		Hady Habib	412687
425	1		64	5/23/2021	11:00am		MIA	Barrera	Adria Soriano Barrera													◀		96.21	63%	13.12	42	58		Adria Soriano Barrera	453605
425	2		64	5/23/2021	11:00am		UK	Hurrion	Millen Hurrion												WO			95.30	37%	13.38	33	78		Millen Hurrion	511970
426	1		64	5/23/2021	11:00am		NCST	Galarneau	Alexis Galarneau	6		6								2		◀		98.20	72%	14.05	25	28		Alexis Galarneau	408573
426	2		64	5/23/2021	11:00am	9	UGA	Bryde	Trent Bryde	1		4								0				96.59	28%	13.47	15	49		Trent Bryde	498429
427	1		64	5/23/2021	3:30pm		ILL	Kovacevic	Aleksandar Kovacevic	6		6								2		◀		99.94	93%	13.97	131	1		Aleksandar Kovacevic	423252
427	2		64	5/23/2021	3:30pm		AUB	Stice	Tyler Stice	3		2								0				95.49	7%	13.22	26	72		Tyler Stice	513853
428	1		64	5/23/2021	6:30pm		TEX	Spizzirri	Eliot Spizzirri	6		7								2		◀		97.01	50%	13.34	23	25		Eliot Spizzirri	520306
428	2		64	5/23/2021	6:30pm	7	TENN	Monday	Johannus Monday	4		5								0				96.98	50%	13.64	8	32		Johannus Monday	527971
429	1		64	5/23/2021	1:00pm		OKST	Vocel	Matej Vocel	6		6								2		◀		97.25	77%	13.47	37	40		Matej Vocel	487509
429	2		64	5/23/2021	1:00pm		A&M	Aguilar	Juan Carlos Aguilar	3		1								0				95.11	23%	13.29	30	73		Juan Carlos Aguilar	384588
430	1		64	5/23/2021	1:00pm		USC	Cukierman	Daniel Cukierman	6		6								2		◀		98.93	73%	14.08	49	5		Daniel Cukierman	399776
430	2		64	5/23/2021	1:00pm	9	TCU	Gray	Alastair Gray	3		4								0				97.23	27%	13.64	12	24		Alastair Gray	411457
431	1		64	5/23/2021	10:00am		USF	Wojcik	Jacob Wojcik	6		6								2		◀		94.90	25%	12.91	47	65		Jacob Wojcik	464470
431	2		64	5/23/2021	10:00am		GT	McDaniel	Marcus McDaniel	3		2								0				96.85	75%	13.28	28	39		Marcus McDaniel	513069
432	1		64	5/23/2021	10:00am		ETSU	Badra	Dimitri Badra	3		4								0				93.36	5%	12.82	66	138		Dimitri Badra	497676
432	2		64	5/23/2021	10:00am	2	SCAR	Rodrigues	Daniel Rodrigues	6		6								2		◀		98.65	95%	13.81	2	9		Daniel Rodrigues	485261
501	1		32	5/24/2021		1	UK	Draxl	Liam Draxl															99.35	73%	13.78	1	2		Liam Draxl	511968
501	2		32	5/24/2021			ND	Nefve	Axel Nefve															97.64	27%	13.59	36	16		Axel Nefve	487492
502	1		32	5/24/2021		9	TENN	Walton	Adam Walton															97.43	79%	13.48	10	29		Adam Walton	461891
502	2		32	5/24/2021			ILL	Clark	Zeke Clark															95.13	21%	13.30	95	60		Zeke Clark	397557
503	1		32	5/24/2021		8	UCF	Decamps	Gabriel Decamps															97.76	71%	13.69	9	20		Gabriel Decamps	401237
503	2		32	5/24/2021			FLA	Andrade	Andy Andrade															96.25	29%	13.39	18	36		Andy Andrade	385909
504	1		32	5/24/2021		9	TCU	Fomba	Luc Fomba															97.23	69%	13.43	17	17		Luc Fomba	489297
504	2		32	5/24/2021			MSST	Oradini	Giovanni Oradini															95.80	31%	13.16	20	77		Giovanni Oradini	438580
505	1		32	5/24/2021		4	A&M	Vacherot	Valentin Vacherot															98.47	76%	13.73	5	6		Valentin Vacherot	459505
505	2		32	5/24/2021			USC	Smith	Riley Smith															96.49	24%	13.41	52	42		Riley Smith	453064
506	1		32	5/24/2021			WAKE	Nava	Eduardo Nava															95.64	28%	13.24	40	47		Eduardo Nava	436186
506	2		32	5/24/2021			UNC	Hijikata	Rinky Hijikata															97.29	72%	13.62	24	19		Rinky Hijikata	514358
507	1		32	5/24/2021		6	FLA	Riffice	Sam Riffice															97.25	72%	13.61	6	26		Sam Riffice	488586
507	2		32	5/24/2021			GT	Martin	Andres Martin															95.59	28%		46	74		Andres Martin	513067
508	1		32	5/24/2021		9	MISS	Reynolds	Finn Reynolds															96.52	46%	13.31	16	59		Finn Reynolds	520891
508	2		32	5/24/2021			WAKE	Montsi	Siphosothando Montsi															96.77	54%	13.33	110	22		Siphosothando Montsi	485650
509	1		32	5/24/2021			BAY	Boitan	Adrian Boitan															97.98	81%	13.49	21	13		Adrian Boitan	497587
509	2		32	5/24/2021			MSST	Broska	Florian Broska															95.42	19%	13.29	48	80		Florian Broska	392974
510	1		32	5/24/2021			USD	Holmgren	August Holmgren															97.78	42%	13.46	85	27		August Holmgren	416362
510	2		32	5/24/2021		5	FLA	Vale	Duarte Vale															98.31	58%	13.59	4	14		Duarte Vale	459591
511	1		32	5/24/2021			TENN	Prata	Martim Prata															95.08	34%	13.18	41	90		Martim Prata	497830
511	2		32	5/24/2021		9	UK	Diallo	Gabriel Diallo															96.25	66%	13.29	14	46		Gabriel Diallo	511971
512	1		32	5/24/2021			UNC	Blumberg	William Blumberg															99.02	68%	13.63	35	8		William Blumberg	390976
512	2		32	5/24/2021		3	A&M	Habib	Hady Habib															97.73	32%	13.65	3	21		Hady Habib	412687
513	1		32	5/24/2021			MIA	Barrera	Adria Soriano Barrera															96.21	24%	13.12	42	58		Adria Soriano Barrera	453605
513	2		32	5/24/2021			NCST	Galarneau	Alexis Galarneau															98.20	76%	14.05	25	28		Alexis Galarneau	408573
514	1		32	5/24/2021			ILL	Kovacevic	Aleksandar Kovacevic															99.94	84%	13.97	131	1		Aleksandar Kovacevic	423252
514	2		32	5/24/2021			TEX	Spizzirri	Eliot Spizzirri															97.01	16%	13.34	23	25		Eliot Spizzirri	520306
515	1		32	5/24/2021			OKST	Vocel	Matej Vocel															97.25	28%	13.47	37	40		Matej Vocel	487509
515	2		32	5/24/2021			USC	Cukierman	Daniel Cukierman															98.93	72%	14.08	49	5		Daniel Cukierman	399776
516	1		32	5/24/2021			USF	Wojcik	Jacob Wojcik															94.90	10%	12.91	47	65		Jacob Wojcik	464470
516	2		32	5/24/2021		2	SCAR	Rodrigues	Daniel Rodrigues															98.65	90%	13.81	2	9		Daniel Rodrigues	485261
601	1		16	5/25/2021																											
601	2		16	5/25/2021																											
602	1		16	5/25/2021																											
602	2		16	5/25/2021																											
603	1		16	5/25/2021																											
603	2		16	5/25/2021																											
604	1		16	5/25/2021																											
604	2		16	5/25/2021																											
605	1		16	5/25/2021																											
605	2		16	5/25/2021																											
606	1		16	5/25/2021																											
606	2		16	5/25/2021																											
607	1		16	5/25/2021																											
607	2		16	5/25/2021																											
608	1		16	5/25/2021																											
608	2		16	5/25/2021																											
701	1		QF	5/26/2021																											
701	2		QF	5/26/2021																											
702	1		QF	5/26/2021																											
702	2		QF	5/26/2021																											
703	1		QF	5/26/2021																											
703	2		QF	5/26/2021																											
704	1		QF	5/26/2021																											
704	2		QF	5/26/2021																											
801	1		SF	5/27/2021																											
801	2		SF	5/27/2021																											
802	1		SF	5/27/2021																											
802	2		SF	5/27/2021																											
901	1		F	5/28/2021																											
901	2		F	5/28/2021																											
																															